INFO: GapDown;new trade; tradeCount:0;tradeId:736;timeStamp:2024-02-01 22:32:39;t_cur:868.628;h_cur:0.142;h1:0.016;price:146.355:146.351;takeProfit:146.43;stopLoss:146.339;killTime:694.902
takeProfit change:0.00103125;killTime change:7.88532
takeProfit change:0.00099375;killTime change:7.59858
takeProfit change:0.00095625;killTime change:7.31184
takeProfit change:0.000375;killTime change:2.86739
takeProfit change:0.0006375;killTime change:4.87456
takeProfit change:0.00091875;killTime change:7.02511
takeProfit change:0.0010125;killTime change:7.74195
takeProfit change:0.0010875;killTime change:8.31543
takeProfit change:0.000825;killTime change:6.30826
takeProfit change:0.00035625;killTime change:2.72402
takeProfit change:0.0008625;killTime change:6.595
takeProfit change:0.0008625;killTime change:6.595
takeProfit change:0.000975;killTime change:7.45521
takeProfit change:0.00114375;killTime change:8.74554
takeProfit change:0.00031875;killTime change:2.43728
stopLoss change:0.000375;killTime change:-2.86739
stopLoss change:0.00043125;killTime change:-3.2975
stopLoss change:0.000375;killTime change:-2.86739
takeProfit change:0.00035625;killTime change:2.72402
takeProfit change:0.00043125;killTime change:3.2975
takeProfit change:0.00046875;killTime change:3.58424
takeProfit change:0.000375;killTime change:2.86739
stopLoss change:0.00031875;killTime change:-2.43728
stopLoss change:0.0004125;killTime change:-3.15413
stopLoss change:0.0006;killTime change:-4.58782
stopLoss change:0.00103125;killTime change:-7.88532
stopLoss change:0.0009375;killTime change:-7.16847
stopLoss change:0.00095625;killTime change:-7.31184
stopLoss change:0.00075;killTime change:-5.73478
stopLoss change:0.0003;killTime change:-2.29391
takeProfit change:0.00035625;killTime change:2.72402
takeProfit change:0.0006375;killTime change:4.87456
takeProfit change:0.00069375;killTime change:5.30467
takeProfit change:0.0008625;killTime change:6.595
takeProfit change:0.0005625;killTime change:4.30108
takeProfit change:0.00035625;killTime change:2.72402
takeProfit change:0.000375;killTime change:2.86739
takeProfit change:0.0003375;killTime change:2.58065
takeProfit change:0.0004875;killTime change:3.72761
takeProfit change:0.0004125;killTime change:3.15413
takeProfit change:0.000375;killTime change:2.86739
takeProfit change:0.0003;killTime change:2.29391
INFO: GapDown;TAKEPROFIT;tradeId:737;parenttradeId:736;timeStamp:2024-02-01 22:38:49;price:146.45;killTime:796.265;profit loss for trades:648.686
INFO: GapDown;new trade; tradeCount:1;tradeId:738;timeStamp:2024-02-02 19:45:54;t_cur:10148.4;h_cur:0.309;h1:0.034;price:148.29:148.286;takeProfit:148.454;stopLoss:148.256;killTime:900
takeProfit change:0.00174375;killTime change:7.93576
takeProfit change:0.00151875;killTime change:6.91179
takeProfit change:0.0016125;killTime change:7.33844
takeProfit change:0.0003375;killTime change:1.53595
takeProfit change:0.0003;killTime change:1.36529
takeProfit change:0.00043125;killTime change:1.96261
takeProfit change:0.00035625;killTime change:1.62128
takeProfit change:0.00031875;killTime change:1.45062
takeProfit change:0.00035625;killTime change:1.62128
takeProfit change:0.0003375;killTime change:1.53595
takeProfit change:0.0003;killTime change:1.36529
takeProfit change:0.00031875;killTime change:1.45062
takeProfit change:0.00035625;killTime change:1.62128
takeProfit change:0.00031875;killTime change:1.45062
takeProfit change:0.0003;killTime change:1.36529
stopLoss change:0.00031875;killTime change:-1.45062
stopLoss change:0.00039375;killTime change:-1.79194
stopLoss change:0.00046875;killTime change:-2.13327
stopLoss change:0.00031875;killTime change:-1.45062
stopLoss change:0.0003375;killTime change:-1.53595
stopLoss change:0.00031875;killTime change:-1.45062
takeProfit change:0.00031875;killTime change:1.45062
stopLoss change:0.0006;killTime change:-2.73058
stopLoss change:0.00069375;killTime change:-3.15724
stopLoss change:0.0007125;killTime change:-3.24257
stopLoss change:0.0006375;killTime change:-2.90124
takeProfit change:0.0003;killTime change:1.36529
stopLoss change:0.0003375;killTime change:-1.53595
stopLoss change:0.00039375;killTime change:-1.79194
takeProfit change:0.00031875;killTime change:1.45062
takeProfit change:0.00039375;killTime change:1.79194
takeProfit change:0.00035625;killTime change:1.62128
takeProfit change:0.00035625;killTime change:1.62128
INFO: GapDown;KILL;tradeId:739;parenttradeId:738;timeStamp:2024-02-02 20:01:20;price:148.313;killTime:924.661;profit loss for trades:158.448
INFO: GapDown;new trade; tradeCount:2;tradeId:740;timeStamp:2024-02-05 02:29:47;t_cur:4841.4;h_cur:0.1015;h1:0.0155;price:148.496:148.492;takeProfit:148.545;stopLoss:148.481;killTime:900
takeProfit change:0.00061875;killTime change:8.57258
takeProfit change:0.0004125;killTime change:5.71506
takeProfit change:0.00031875;killTime change:4.41618
INFO: GapDown;STOPLOSS;tradeId:741;parenttradeId:740;timeStamp:2024-02-05 02:29:57;price:148.481;killTime:918.704;profit loss for trades:-104.391
INFO: GapDown;new trade; tradeCount:3;tradeId:742;timeStamp:2024-02-05 06:36:25;t_cur:13689.8;h_cur:0.1055;h1:0.0135;price:148.405:148.4;takeProfit:148.459;stopLoss:148.391;killTime:900
takeProfit change:0.0009;killTime change:11.9964
takeProfit change:0.00084375;killTime change:11.2467
takeProfit change:0.0006;killTime change:7.99763
stopLoss change:0.0003;killTime change:-3.99882
INFO: GapDown;STOPLOSS;tradeId:743;parenttradeId:742;timeStamp:2024-02-05 06:36:29;price:148.391;killTime:927.242;profit loss for trades:-90.9759
INFO: GapDown;new trade; tradeCount:4;tradeId:744;timeStamp:2024-02-05 22:24:23;t_cur:21992.7;h_cur:0.142;h1:0.021;price:148.718:148.714;takeProfit:148.788;stopLoss:148.697;killTime:900
takeProfit change:0.00065625;killTime change:6.49895
takeProfit change:0.0009;killTime change:8.91285
takeProfit change:0.00114375;killTime change:11.3267
takeProfit change:0.0007875;killTime change:7.79875
takeProfit change:0.000975;killTime change:9.65559
takeProfit change:0.00061875;killTime change:6.12759
stopLoss change:0.000375;killTime change:-3.71369
stopLoss change:0.0007125;killTime change:-7.05601
stopLoss change:0.00054375;killTime change:-5.38485
stopLoss change:0.00039375;killTime change:-3.89937
stopLoss change:0.0003375;killTime change:-3.34232
takeProfit change:0.00091875;killTime change:9.09854
takeProfit change:0.0010125;killTime change:10.027
takeProfit change:0.0007875;killTime change:7.79875
takeProfit change:0.000825;killTime change:8.17011
takeProfit change:0.00035625;killTime change:3.528
stopLoss change:0.0006375;killTime change:-6.31327
stopLoss change:0.000525;killTime change:-5.19916
stopLoss change:0.00043125;killTime change:-4.27074
stopLoss change:0.000375;killTime change:-3.71369
stopLoss change:0.0003375;killTime change:-3.34232
stopLoss change:0.00039375;killTime change:-3.89937
stopLoss change:0.00045;killTime change:-4.45643
stopLoss change:0.00043125;killTime change:-4.27074
takeProfit change:0.00105;killTime change:10.3983
takeProfit change:0.0022125;killTime change:21.9108
takeProfit change:0.00178125;killTime change:17.64
takeProfit change:0.0015;killTime change:14.8548
takeProfit change:0.0004875;killTime change:4.82779
stopLoss change:0.0003375;killTime change:-3.34232
takeProfit change:0.0003375;killTime change:3.34232
takeProfit change:0.00046875;killTime change:4.64211
takeProfit change:0.0007125;killTime change:7.05601
takeProfit change:0.00061875;killTime change:6.12759
takeProfit change:0.00058125;killTime change:5.75622
stopLoss change:0.00031875;killTime change:-3.15664
stopLoss change:0.000525;killTime change:-5.19916
stopLoss change:0.00076875;killTime change:-7.61306
stopLoss change:0.00061875;killTime change:-6.12759
stopLoss change:0.00103125;killTime change:-10.2126
stopLoss change:0.00105;killTime change:-10.3983
stopLoss change:0.0013125;killTime change:-12.9979
stopLoss change:0.00118125;killTime change:-11.6981
stopLoss change:0.00076875;killTime change:-7.61306
stopLoss change:0.0004875;killTime change:-4.82779
stopLoss change:0.00045;killTime change:-4.45643
INFO: GapDown;STOPLOSS;tradeId:745;parenttradeId:744;timeStamp:2024-02-05 22:25:57;price:148.708;killTime:938.994;profit loss for trades:-67.2459
