INFO: GapDown;new trade; tradeCount:0;tradeId:1006;timeStamp:2024-03-05 14:45:00;t_cur:53705.6;h_cur:0.386;h1:0.084;price:150.161:150.156;takeProfit:150.324;stopLoss:150.077;killTime:900
takeProfit change:0.003525;killTime change:12.842
takeProfit change:0.00376875;killTime change:13.7301
takeProfit change:0.00316875;killTime change:11.5442
stopLoss change:0.0004875;killTime change:-1.77603
stopLoss change:0.00046875;killTime change:-1.70772
takeProfit change:0.00045;killTime change:1.63941
takeProfit change:0.00076875;killTime change:2.80066
takeProfit change:0.0007125;killTime change:2.59573
takeProfit change:0.0006375;killTime change:2.3225
stopLoss change:0.00035625;killTime change:-1.29787
stopLoss change:0.00031875;killTime change:-1.16125
stopLoss change:0.0004875;killTime change:-1.77603
stopLoss change:0.0006;killTime change:-2.18588
stopLoss change:0.00050625;killTime change:-1.84434
stopLoss change:0.0005625;killTime change:-2.04926
stopLoss change:0.00039375;killTime change:-1.43448
stopLoss change:0.00069375;killTime change:-2.52742
stopLoss change:0.0005625;killTime change:-2.04926
stopLoss change:0.000375;killTime change:-1.36618
takeProfit change:0.00031875;killTime change:1.16125
takeProfit change:0.00046875;killTime change:1.70772
takeProfit change:0.00031875;killTime change:1.16125
stopLoss change:0.0004875;killTime change:-1.77603
takeProfit change:0.0004125;killTime change:1.50279
takeProfit change:0.0004125;killTime change:1.50279
takeProfit change:0.0006;killTime change:2.18588
takeProfit change:0.0006;killTime change:2.18588
takeProfit change:0.0006;killTime change:2.18588
stopLoss change:0.0003375;killTime change:-1.22956
stopLoss change:0.00031875;killTime change:-1.16125
stopLoss change:0.00031875;killTime change:-1.16125
stopLoss change:0.00031875;killTime change:-1.16125
stopLoss change:0.00031875;killTime change:-1.16125
stopLoss change:0.0004875;killTime change:-1.77603
stopLoss change:0.0004875;killTime change:-1.77603
stopLoss change:0.0003375;killTime change:-1.22956
stopLoss change:0.00031875;killTime change:-1.16125
stopLoss change:0.0005625;killTime change:-2.04926
