INFO: GapDown;new trade; tradeCount:0;tradeId:870;timeStamp:2024-02-01 22:32:39;t_cur:868.628;h_cur:0.142;h1:0.016;price:146.355;takeProfit:146.409;stopLoss:146.339;killTime:608.04
takeProfit change:0.001375;killTime change:12.0157
takeProfit change:0.001325;killTime change:11.5788
takeProfit change:0.001275;killTime change:11.1419
takeProfit change:0.0005;killTime change:4.36936
takeProfit change:0.00085;killTime change:7.42791
takeProfit change:0.001225;killTime change:10.7049
takeProfit change:0.00135;killTime change:11.7973
takeProfit change:0.00145;killTime change:12.6711
takeProfit change:0.0011;killTime change:9.61258
takeProfit change:0.000475;killTime change:4.15089
takeProfit change:0.00115;killTime change:10.0495
INFO: GapDown;TAKEPROFIT;tradeId:871;parenttradeId:870;timeStamp:2024-02-01 22:33:01;price:146.426;killTime:713.56;profit loss for trades:484.887
INFO: GapDown;new trade; tradeCount:1;tradeId:872;timeStamp:2024-02-02 19:45:54;t_cur:10148.4;h_cur:0.309;h1:0.034;price:148.29;takeProfit:148.407;stopLoss:148.256;killTime:900
takeProfit change:0.002325;killTime change:13.8201
takeProfit change:0.002025;killTime change:12.0369
takeProfit change:0.00215;killTime change:12.7799
takeProfit change:0.00045;killTime change:2.67486
takeProfit change:0.0004;killTime change:2.37765
takeProfit change:0.000575;killTime change:3.41787
takeProfit change:0.000475;killTime change:2.82346
takeProfit change:0.000425;killTime change:2.52625
takeProfit change:0.000475;killTime change:2.82346
takeProfit change:0.00045;killTime change:2.67486
takeProfit change:0.0004;killTime change:2.37765
takeProfit change:0.000425;killTime change:2.52625
takeProfit change:0.000475;killTime change:2.82346
takeProfit change:0.000425;killTime change:2.52625
takeProfit change:0.0004;killTime change:2.37765
stopLoss change:0.000425;killTime change:-2.52625
stopLoss change:0.000525;killTime change:-3.12067
stopLoss change:0.000625;killTime change:-3.71508
stopLoss change:0.000425;killTime change:-2.52625
stopLoss change:0.00045;killTime change:-2.67486
stopLoss change:0.000425;killTime change:-2.52625
takeProfit change:0.000425;killTime change:2.52625
stopLoss change:0.0008;killTime change:-4.7553
stopLoss change:0.000925;killTime change:-5.49832
stopLoss change:0.00095;killTime change:-5.64692
stopLoss change:0.00085;killTime change:-5.05251
takeProfit change:0.0004;killTime change:2.37765
stopLoss change:0.00045;killTime change:-2.67486
stopLoss change:0.000525;killTime change:-3.12067
takeProfit change:0.000425;killTime change:2.52625
takeProfit change:0.000525;killTime change:3.12067
takeProfit change:0.000475;killTime change:2.82346
takeProfit change:0.000475;killTime change:2.82346
INFO: GapDown;KILL;tradeId:873;parenttradeId:872;timeStamp:2024-02-02 20:01:38;price:148.311;killTime:942.946;profit loss for trades:141.594
INFO: GapDown;new trade; tradeCount:2;tradeId:874;timeStamp:2024-02-05 02:29:47;t_cur:4841.4;h_cur:0.1015;h1:0.0155;price:148.496;takeProfit:148.53;stopLoss:148.481;killTime:900
takeProfit change:0.000825;killTime change:14.9291
takeProfit change:0.00055;killTime change:9.95275
takeProfit change:0.000425;killTime change:7.69076
INFO: GapDown;STOPLOSS;tradeId:875;parenttradeId:874;timeStamp:2024-02-05 02:29:57;price:148.481;killTime:932.573;profit loss for trades:-104.391
INFO: GapDown;new trade; tradeCount:3;tradeId:876;timeStamp:2024-02-05 06:36:25;t_cur:13689.8;h_cur:0.1055;h1:0.0135;price:148.405;takeProfit:148.443;stopLoss:148.391;killTime:900
takeProfit change:0.0012;killTime change:20.8918
takeProfit change:0.001125;killTime change:19.586
takeProfit change:0.0008;killTime change:13.9278
stopLoss change:0.0004;killTime change:-6.96392
INFO: GapDown;STOPLOSS;tradeId:877;parenttradeId:876;timeStamp:2024-02-05 06:36:29;price:148.391;killTime:947.442;profit loss for trades:-90.9759
INFO: GapDown;new trade; tradeCount:4;tradeId:878;timeStamp:2024-02-05 22:24:23;t_cur:21992.7;h_cur:0.142;h1:0.021;price:148.718;takeProfit:148.767;stopLoss:148.697;killTime:900
takeProfit change:0.000875;killTime change:11.3179
takeProfit change:0.0012;killTime change:15.5217
takeProfit change:0.001525;killTime change:19.7255
takeProfit change:0.00105;killTime change:13.5815
takeProfit change:0.0013;killTime change:16.8152
takeProfit change:0.000825;killTime change:10.6712
stopLoss change:0.0005;killTime change:-6.46738
stopLoss change:0.00095;killTime change:-12.288
stopLoss change:0.000725;killTime change:-9.37769
stopLoss change:0.000525;killTime change:-6.79074
stopLoss change:0.00045;killTime change:-5.82064
takeProfit change:0.001225;killTime change:15.8451
takeProfit change:0.00135;killTime change:17.4619
takeProfit change:0.00105;killTime change:13.5815
takeProfit change:0.0011;killTime change:14.2282
takeProfit change:0.000475;killTime change:6.14401
stopLoss change:0.00085;killTime change:-10.9945
stopLoss change:0.0007;killTime change:-9.05433
stopLoss change:0.000575;killTime change:-7.43748
stopLoss change:0.0005;killTime change:-6.46738
stopLoss change:0.00045;killTime change:-5.82064
stopLoss change:0.000525;killTime change:-6.79074
stopLoss change:0.0006;killTime change:-7.76085
stopLoss change:0.000575;killTime change:-7.43748
takeProfit change:0.0014;killTime change:18.1087
takeProfit change:0.00295;killTime change:38.1575
takeProfit change:0.002375;killTime change:30.72
takeProfit change:0.002;killTime change:25.8695
takeProfit change:0.00065;killTime change:8.40759
stopLoss change:0.00045;killTime change:-5.82064
takeProfit change:0.00045;killTime change:5.82064
takeProfit change:0.000625;killTime change:8.08422
takeProfit change:0.00095;killTime change:12.288
takeProfit change:0.000825;killTime change:10.6712
takeProfit change:0.000775;killTime change:10.0244
stopLoss change:0.000425;killTime change:-5.49727
stopLoss change:0.0007;killTime change:-9.05433
stopLoss change:0.001025;killTime change:-13.2581
stopLoss change:0.000825;killTime change:-10.6712
stopLoss change:0.001375;killTime change:-17.7853
stopLoss change:0.0014;killTime change:-18.1087
stopLoss change:0.00175;killTime change:-22.6358
stopLoss change:0.001575;killTime change:-20.3722
stopLoss change:0.001025;killTime change:-13.2581
stopLoss change:0.00065;killTime change:-8.40759
stopLoss change:0.0006;killTime change:-7.76085
INFO: GapDown;STOPLOSS;tradeId:879;parenttradeId:878;timeStamp:2024-02-05 22:25:57;price:148.708;killTime:967.907;profit loss for trades:-67.2459
INFO: GapDown;new trade; tradeCount:5;tradeId:880;timeStamp:2024-02-07 15:34:45;t_cur:195.973;h_cur:0.1135;h1:0.027;price:147.918;takeProfit:147.947;stopLoss:147.892;killTime:137.181
takeProfit change:0.00335;killTime change:8.26318
INFO: GapDown;TAKEPROFIT;tradeId:881;parenttradeId:880;timeStamp:2024-02-07 15:34:45;price:147.951;killTime:145.444;profit loss for trades:219.667
INFO: GapDown;new trade; tradeCount:6;tradeId:882;timeStamp:2024-02-08 10:36:50;t_cur:174.569;h_cur:0.107;h1:0.012;price:148.877;takeProfit:148.918;stopLoss:148.865;killTime:122.198
takeProfit change:0.00085;killTime change:1.98109
takeProfit change:0.000525;killTime change:1.22361
takeProfit change:0.0007;killTime change:1.63149
